keys,zh,en,ja
TXT_GUIDE_CH2_ERR_2,地形越简单，Combo 越容易延续,Simple terrain makes Combo easier to continue,地形が単純なほど Combo は続けやすい
TXT_GUIDE_CH2_ERR_3,断连通常不是因为这一步错，而是上一步没有给下一步留空间,A broken Combo often starts from the previous move not leaving space,Combo 切れは今の手ではなく、前の手で次の空間を残せていないことが多い
TXT_GUIDE_CH3_TITLE,T-Spin Double,T-Spin Double,T-Spin Double
TXT_GUIDE_CH3_TAG,核心进攻,Core Offense,コア攻撃
TXT_GUIDE_CH3_TIME,5 分钟,5 mins,5分
TXT_GUIDE_CH3_SUMMARY,T 方块通过旋转卡入 T 槽，同时消除 2 行，攻击力 4 行。,Spin the T piece into a T-slot to clear 2 lines and send 4 damage.,T ブロックを T-slot へSpinさせ、2ライン消して4ライン攻撃します。
TXT_GUIDE_CH3_CONCEPT,"T-Spin Double 通常简称 TSD。做法是先准备一个 T 槽，再让 T 方块通过旋转进入槽位，并一次清掉 2 行。\n\n关键不是“把 T 放进去”，而是最后一步必须通过旋转进入。","T-Spin Double is often shortened to TSD. Build a T-slot, then rotate the T piece into it and clear 2 lines.\n\nThe important part is not simply placing T there: the final entry must be a rotation.","T-Spin Double は TSD とも呼ばれます。先に T-slot を作り、T ブロックを回転で入れて2ライン消します。\n\n重要なのは T を置くだけではなく、最後に回転で入ることです。"
TXT_GUIDE_CH3_WHY_1,想用较低高度打出 4 行攻击,You want 4 damage from a low structure,低い地形から4ライン攻撃したい時
TXT_GUIDE_CH3_WHY_2,已经有 T 槽雏形，可以顺势补完,A T-slot is already forming and can be completed,T-slot の形ができかけている時
TXT_GUIDE_CH3_WHY_3,需要维持 B2B 压力,You want to keep B2B pressure,B2B の圧力を維持したい時
TXT_GUIDE_CH3_VALUE,TSD 基础攻击力是 4 行，和 Tetris 相同。若处于 B2B 状态，会变成 5 行攻击。,TSD sends 4 lines, the same as Tetris. With B2B, it sends 5.,TSD は Tetris と同じ4ライン攻撃です。B2B 中なら5ラインになります。
TXT_GUIDE_CH3_STEP_1,先确认 T 槽底部能清 2 行,Confirm the bottom of the T-slot can clear 2 lines,T-slot の底で2ライン消えることを確認する
TXT_GUIDE_CH3_STEP_2,保留 T 方块进入槽口的通道,Keep the entry path open for the T piece,T ブロックが入る通路を残す
TXT_GUIDE_CH3_STEP_3,把 T 移到槽口附近，不要直接硬塞,Move T near the opening without forcing it in,T を入口近くへ移動し、無理に押し込まない
TXT_GUIDE_CH3_STEP_4,最后用旋转卡入槽位,Rotate into the slot at the end,最後に回転で穴へ入る
TXT_GUIDE_CH3_STEP_5,锁定后出现 T-Spin Double 判定,Lock and get the T-Spin Double callout,固定後に T-Spin Double 判定が出る
TXT_GUIDE_CH3_ERR_1,最后一步必须是旋转,The final input must be rotation,最後の入力は回転にする
TXT_GUIDE_CH3_ERR_2,入口太早封住就无法旋入,If the entrance is closed too early T cannot spin in,入口を早く塞ぐとSpinで入れない
TXT_GUIDE_CH3_ERR_3,T 槽附近不要堆出多余凸起,Avoid extra bumps around the T-slot,T-slot 周辺に余計な凸を作らない
TXT_GUIDE_OP_ROT_CCW,逆时针旋转 90°,Rotate CCW 90°,左に90度回転
TXT_GUIDE_OP_MOVE_WALL,一直向右靠墙壁,Move right against the wall,右の壁まで移動
TXT_GUIDE_OP_ROT_CW_KICK,顺时针旋转——受墙壁阻挡，中心点向左踢墙,Rotate CW — blocked by wall kicks left,時計回り回転 — 壁で止まり左へ Wall Kick
TXT_GUIDE_OP_ROT_CW_ENTRY,顺时针旋转，调整入口方向,Rotate CW to adjust entry angle,右に回転して入口の向きを調整
TXT_GUIDE_OP_DROP_SLOT,软降到槽口上方,Soft drop above the slot,穴の上までソフトドロップ
TXT_GUIDE_OP_ROT_CW_TSPIN,顺时针旋转，T 方块旋入 T 槽,Rotate CW to spin into T-slot,時計回り回転で T ブロックを T-slot へ入れる
TXT_GUIDE_OP_MOVE_RIGHT,移动到右侧空位上方,Move over the right gap,右側の空きスペースに移動
TXT_GUIDE_OP_DROP_CLEAR2,下落到底部，消除 2 行,Drop to bottom clear 2 lines,一番下まで落として2ライン消去
TXT_GUIDE_BASICS,基础知识,Basics,基礎知識
TXT_GUIDE_BASICS_DESC,先确认每种消除的收益，再进入具体操作。,Check the value of each clear before practicing execution.,各消去の価値を確認してから、具体的な操作へ進みます。
TXT_GUIDE_ESTIMATE_PREFIX,预计,Est.,目安
TXT_GUIDE_ESTIMATE,预估,Est.,予想
TXT_GUIDE_VIEW,查看,View,見る
TXT_GUIDE_START_SIM,开始模拟,Simulate,シミュレーション
TXT_GUIDE_READY,准备,Ready,準備
TXT_GUIDE_LOCKED,锁定,Locked,ロック
TXT_GUIDE_CLEAR,消除,Clear,消去
TXT_GUIDE_OP_MOVE_RIGHT_WALL,向右移动直到贴住墙壁,Move right to wall,右の壁まで移動
TXT_GUIDE_OP_WAIT_WALL,贴墙停顿,Wait at wall,壁で待機
TXT_GUIDE_OP_ROT_KICK_L,顺时针旋转 90°：踢墙，中心点向左移 1 格,Rotate CW 90: Kick left 1 cell,時計回り90度: Wall Kick で左へ1マス
TXT_GUIDE_OP_OBSERVE_KICK,观察踢墙位移,Observe wall kick,Wall Kick のズレを見る
TXT_GUIDE_OP_ROT_CCW_AGAIN,再次逆时针旋转 90°,Rotate CCW 90 again,再び左回転90度
TXT_GUIDE_OP_MOVE_RIGHT_WALL_AGAIN,右移贴住墙壁,Move right to wall again,再び右の壁まで移動
TXT_GUIDE_OP_HARD_DROP,下落到底部,Hard drop to bottom,一番下までハードドロップ
TXT_GUIDE_OP_WAIT_SPIN,等待旋入时机,Wait for spin timing,回転のタイミングを待つ
TXT_GUIDE_OP_ROT_LSPIN,顺时针旋转：踢墙旋入，完成 L-Spin,Rotate CW: Kick and complete L-Spin,時計回り回転: Wall Kick で L-Spin 完成
TXT_GUIDE_OP_SOFT_DROP,软降,Soft drop,ソフトドロップ
TXT_GUIDE_OP_MOVE_RIGHT_WELL,右移到井旁,Move right near well,井戸の横に移動
TXT_GUIDE_OP_MOVE_WELL_EDGE,贴住井口,Align with well edge,井戸の端に合わせる
TXT_GUIDE_OP_DROP_WELL,下落插入井,Drop into well,井戸の中に落とす
TXT_GUIDE_OBJ_TSPIN,目标：将 T 方块旋入 T 槽，同时消除 2 行，完成 T-Spin Double。,Objective: Spin T into slot to clear 2 lines (TSD).,目標: T ブロックを T-slot へSpinさせ、2ライン消して T-Spin Double を完成させる。
TXT_GUIDE_OBJ_COMBO,目标：用 O 方块连续落入右侧空位消行，完成 Combo 5。,Objective: Drop O piece to clear lines consecutively (Combo 5).,目標: O ブロックで連続消去し、Combo 5 を完成させる。
TXT_GUIDE_OBJ_WALLKICK,目标：将 L 方块旋转，观察踢墙导致的中心点偏移。,Objective: Rotate L piece and observe wall kick offset.,目標: L ブロックを回転させ、Wall Kick による中心点のズレを見る。
TXT_GUIDE_OBJ_TETRIS,目标：将 I 方块旋成竖直，放入右侧井，完成 Tetris 四消。,Objective: Rotate I piece and drop into well for Tetris.,目標: I ブロックを縦にして井戸へ入れ、Tetris を完成させる。
TXT_GUIDE_SIM_TSPIN,T-Spin Double 模拟,T-Spin Double Sim,T-Spin Double シミュ
TXT_GUIDE_SIM_COMBO,Combo 模拟  当前 Combo: %d,Combo Sim  Current: %d,Combo シミュ 現在: %d
TXT_GUIDE_SIM_WALLKICK,Wall Kick 踢墙模拟,Wall Kick Sim,Wall Kick シミュ
TXT_GUIDE_SIM_TETRIS,Tetris 四消模拟,Tetris Sim,Tetris シミュ
TXT_GUIDE_ERR_ROT,这里转不进去。先移动到合适位置再旋转。,Cannot rotate here. Move to a proper position first.,ここでは回転できません。移動してから回転してください。
TXT_GUIDE_ERR_LOCK,还没有贴住地形。继续软降，或者用硬降。,Not resting on surface yet. Keep dropping.,まだ地形に接地していません。ドロップを続けてください。
TXT_GUIDE_SUC_TSPIN,成功！T-Spin Double —— 旋入 T 槽消除 2 行，攻击力 4 行。用时 %.1f 秒。,Success! T-Spin Double! Cleared 2 lines. Time: %.1f s.,成功！T-Spin Double！2ライン消去。時間: %.1f 秒。
TXT_GUIDE_ERR_TSPIN_1,完成了 T-Spin Single（消 1 行），但目标是 T-Spin Double（消 2 行）。检查 T 槽结构，按重置再试。,Did a T-Spin Single. Target is Double. Reset and retry.,T-Spin Single です。目標は T-Spin Double です。リセットして再試行してください。
TXT_GUIDE_ERR_TSPIN_0,没有达成 T-Spin。最后一步必须是旋转卡入，而且要消 2 行。按重置再试。,Failed T-Spin. Last move must be rotation clearing 2 lines.,T-Spin失敗。最後は回転で2ライン消去する必要があります。
TXT_GUIDE_SUC_COMBO,成功！Combo 5 —— 连续 5 次消行，用时 %.1f 秒。,Success! Combo 5! Time: %.1f s.,成功！Combo 5！時間: %.1f 秒。
TXT_GUIDE_SUC_COMBO_N,Combo %d！额外攻击力 +%d 行。继续保持连击。,Combo %d! Bonus +%d lines. Keep it up.,Combo %d！ボーナス +%d ライン。続けて！
TXT_GUIDE_ERR_COMBO,连击中断——这次落块没有消行。Combo 要求每次都消行。,Combo broken. You must clear lines every piece.,Combo が途切れました。毎回ラインを消す必要があります。
TXT_GUIDE_SUC_LSPIN,成功！L-Spin —— 最后一次旋转靠踢墙进入空洞，并完成 2 行消除。,Success! L-Spin completed.,成功！L-Spin 完了。
TXT_GUIDE_ERR_LSPIN,还没有完成 L-Spin。需要最后一步靠踢墙旋入右下角，并完成 2 行消除。,L-Spin not completed. Spin into bottom right corner.,L-Spin未完了。右下に回転して入れてください。
TXT_GUIDE_SUC_TETRIS,成功！Tetris 四消 —— I 方块竖直插入井中消除 4 行，攻击力 4 行。用时 %.1f 秒。,Success! Tetris! Time: %.1f s.,成功！Tetris！時間: %.1f 秒。
TXT_GUIDE_ERR_TETRIS,没有达成四消。I 方块要旋成竖直放入井中。按重置再试。,Failed Tetris. Rotate I piece vertically into well.,Tetris 失敗。I ブロックを縦にして井戸へ入れてください。
TXT_GUIDE_ATK_TITLE,攻击力速查表,Attack Power Table,攻撃力早見表
TXT_GUIDE_ATK_DESC,对战中，消除行数不等于攻击力。以下是各消除类型发送的垃圾行数：,Clear lines do not equal damage. Damage table:,消去ライン数と攻撃力は異なります。攻撃力表:
TXT_GUIDE_ATK_H1,消除类型,Clear Type,消去タイプ
TXT_GUIDE_ATK_H2,消除行数,Lines Cleared,消去ライン
TXT_GUIDE_ATK_H3,攻击力,Damage,攻撃力
TXT_GUIDE_B2B_TITLE,B2B（Back-to-Back）,B2B (Back-to-Back),B2B (Back-to-Back)
TXT_GUIDE_B2B_DESC,连续打出「困难消除」（Tetris 或 T-Spin）不中断，额外 +1 行攻击力。中间穿插普通消除会中断 B2B。,Consecutive difficult clears (Tetris/T-Spin) give +1 damage.,Tetris または T-Spin を連続で行うと +1 のボーナス。普通の消去を挟むと B2B は切れます。
TXT_GUIDE_COMBO_TITLE,Combo 额外攻击力,Combo Bonus Damage,Combo 追加攻撃力
TXT_GUIDE_COMBO_DESC1,连击次数 → 额外行数：1→0  2→0  3→+1  4→+1  5→+2  6→+2  7→+3  8→+3  9→+4  10+→+4~5,Combo -> Bonus: 1->0 2->0 3->+1 4->+1 5->+2 6->+2 7->+3 8->+3 9->+4 10+->+4~5,Combo -> 追加: 1->0 2->0 3->+1 4->+1 5->+2 6->+2 7->+3 8->+3 9->+4 10+->+4~5
TXT_GUIDE_COMBO_DESC2,额外攻击力叠加在消除本身的攻击力之上。,Bonus damage is added to the base damage of the clear.,追加攻撃力は基本攻撃力に加算されます。
TXT_GUIDE_OP_ROT_CW_90,顺时针旋转 90°,Rotate CW 90°,右回転 90°
